200	1
300	2
400	3
201	4
301	5
401	6
202	7
302	8
402	9
203	19
303	20
403	21
204	10
304	11
404	12
205	13
305	14
405	15
206	16
306	17
406	18
207	34
307	35
407	36
208	31
308	32
408	33
209	28
309	29
409	30
210	25
310	26
410	27
211	22
311	23
411	24
215	37
315	38
415	39
216	40
316	41
416	42
217	43
317	44
417	45
218	46
318	47
418	48
219	49
319	50
419	51
220	52
320	53
420	54
221	55
321	56
421	57
225	58
325	59
425	60
226	61
326	62
426	63
230	73
330	74
430	75
231	76
331	77
431	78
232	64
332	65
432	66
233	67
333	68
433	69
234	79
334	80
434	81
235	82
335	83
435	84
236	70
336	71
436	72
237	103
337	104
437	105
238	91
338	92
438	93
239	94
339	95
439	96
240	97
340	98
440	99
241	100
341	101
441	102
242	88
342	89
442	90
243	85
343	86
443	87
245	109
345	110
445	111
246	112
346	113
446	114
247	115
347	116
447	117
248	106
348	107
448	108
249	124
349	125
449	126
250	118
350	119
450	120
251	121
351	122
451	123
252	139
352	140
452	141
253	136
353	137
453	138
254	127
354	128
454	129
255	130
355	131
455	132
256	133
356	134
456	135
260	145
360	146
460	147
261	148
361	149
461	150
262	163
362	164
462	165
263	166
363	167
463	168
264	151
364	152
464	153
265	154
365	155
465	156
266	169
366	170
466	171
267	172
367	173
467	174
268	175
368	176
468	177
269	178
369	179
469	180
270	184
370	185
470	186
271	181
371	182
471	183
272	157
372	158
472	159
273	160
373	161
473	162
275	187
375	188
475	189
276	190
376	191
476	192
277	193
377	194
477	195
278	196
378	197
478	198
279	214
379	215
479	216
280	211
380	212
480	213
281	208
381	209
481	210
282	199
382	200
482	201
283	202
383	203
483	204
284	205
384	206
484	207
285	220
385	221
485	222
286	226
386	227
486	228
287	232
387	233
487	234
288	238
388	239
488	240
289	244
389	245
489	246
290	223
390	224
490	225
291	229
391	230
491	231
292	235
392	236
492	237
293	241
393	242
493	243
294	247
394	248
494	249
295	217
395	218
495	219
