255,83,16,255,83,16,255,83,16,255,83,16,255,83,16,255,83,16
255,83,16,218,165,32,218,165,32,218,165,32,218,165,32,218,165,32
218,165,32,218,165,32,218,165,32,218,165,32,218,165,32,218,165,32
218,165,32,218,165,32,218,165,32,255,83,16,255,83,16,218,165,32
255,83,16,255,83,16,218,165,32,218,165,32,255,83,16,255,83,16
255,83,16,255,83,16,255,83,16,255,83,16,218,165,32,218,165,32
218,165,32,218,165,32,218,165,32,218,165,32,218,165,32,218,165,32
218,165,32,218,165,32,218,165,32,218,165,32,218,165,32,0,0,0
255,83,16,255,83,16,218,165,32,218,165,32,255,83,16,255,83,16
255,83,16,255,83,16,218,165,32,218,165,32,255,83,16,255,83,16
255,83,16,255,83,16,218,165,32,218,165,32,218,165,32,218,165,32
218,165,32,218,165,32,218,165,32,218,165,32,218,165,32,218,165,32
255,83,16,255,83,16,255,83,16,255,83,16,255,83,16,255,83,16
255,83,16,255,83,16,255,83,16,255,83,16,255,83,16,0,0,0
